Base_normalized;Atrial_Side_normalized
0.99677;0.7964
0.99637;0.6436
0.99415;0.82281
0.99275;0.58615
0.99126;0.45031
0.9897;0.73838
0.98905;0.92297
0.98754;0.26973
0.98438;0.12713
0.98268;0.52503
0.98252;0.72294
0.9813;0.83005
0.98042;0.21746
0.97915;0.38088
0.97841;0.01652
0.9775;0.60948
0.9745;0.07158
0.97351;0.41227
0.97303;0.84453
0.97171;0.00107
0.97013;0.57666
0.96949;0.28922
0.96946;0.08687
0.96855;0.83131
0.96787;0.62885
0.96676;0.93357
0.96475;0.15521
0.96454;0.27088
0.96253;0.50348
0.9624;0.689
0.96162;0.04639
0.96091;0.78549
0.96071;0.95024
0.95789;0.12674
0.95749;0.45413
0.95675;0.38439
0.95559;0.8359
0.95542;0.63056
0.95491;0.75199
0.95334;0.02391
0.95326;0.14176
0.95326;0.95008
0.95151;0.35441
0.95033;0.8042
0.94996;0.42675
0.94712;0.1871
0.94702;0.55173
0.94667;0.74338
0.94593;0.97678
0.94591;0.01102
0.94556;0.29043
0.9442;0.86081
0.94366;0.45604
0.94279;0.64107
0.93947;0.02691
0.93908;0.51879
0.93761;0.18647
0.93706;0.35914
0.93607;0.95544
0.93471;0.84046
0.93433;0.5923
0.93399;0.52392
0.9335;0.45084
0.93296;0.09063
0.93272;0.30554
0.93227;0.67442
0.93149;0.01967
0.93019;0.23836
0.92899;0.8704
0.92725;0.42016
0.92705;0.52137
0.92616;0.21799
0.92603;0.0288
0.92556;0.31802
0.92518;0.88463
0.9238;0.59425
0.92245;0.92602
0.91995;0.03345
0.9193;0.68446
0.91912;0.23472
0.91836;0.76753
0.91825;0.51847
0.91717;0.00284
0.91632;0.09414
0.91621;0.3861
0.91414;0.76596
0.91399;0.83315
0.91232;0.90093
0.91081;0.19435
0.91021;0.4658
0.90991;0.01538
0.90881;0.12321
0.9069;0.95279
0.90478;0.64099
0.90453;0.46612
0.90415;0.28685
0.90297;0.0283
0.89985;0.9214
0.89944;0.18954
0.89936;0.45555
0.89902;0.36991
0.89845;0.0042
0.89663;0.71095
0.89615;0.53014
0.89579;0.83316
0.8956;0.76022
0.89462;0.07582
0.89314;0.19064
0.89303;0.95132
0.89228;0.42167
0.89197;0.15096
0.89098;0.01543
0.88968;0.87182
0.88931;0.11496
0.88743;0.05929
0.88705;0.74263
0.88652;0.29832
0.88505;0.01556
0.88498;0.47211
0.88455;0.86798
0.88407;0.69087
0.88365;0.95966
0.88321;0.37127
0.88294;0.0649
0.88188;0.15676
0.88182;0.62926
0.88053;0.27223
0.8801;0.74289
0.87992;0.88645
0.87793;0.01472
0.87629;0.75581
0.8755;0.53029
0.87453;0.87124
0.87401;0.32153
0.87377;0.08285
0.87364;0.70126
0.87298;0.97294
0.87264;0.18053
0.87166;0.40286
0.87155;0.83018
0.87029;0.00771
0.86938;0.71781
0.86927;0.51936
0.86731;0.95549
0.86618;0.65802
0.86446;0.47189
0.86396;0.01451
0.86306;0.75701
0.86255;0.07676
0.86253;0.93717
0.86064;0.36195
0.8603;0.46408
0.85894;0.16548
0.85881;0.59396
0.85879;0.12094
0.85753;0.00743
0.85693;0.80049
0.85638;0.88621
0.85636;0.23829
0.8541;0.16903
0.85347;0.7344
0.85284;0.06279
0.85264;0.00882
0.8517;0.60282
0.85126;0.30857
0.85053;0.90732
0.84812;0.22058
0.84801;0.67936
0.84779;0.00768
0.84777;0.42042
0.84668;0.84696
0.84591;0.07636
0.84568;0.55749
0.84259;0.65393
0.84254;0.12636
0.84122;0.23883
0.84063;0.73228
0.84015;0.93258
0.83986;0.87445
0.83662;0.00313
0.83596;0.80267
0.83549;0.0475
0.83518;0.15194
0.83445;0.90878
0.83373;0.75151
0.833;0.56175
0.83215;0.26132
0.83095;0.66874
0.83076;0.80475
0.82864;0.00335
0.82836;0.10324
0.82775;0.9115
0.82644;0.6947
0.82598;0.6184
0.82579;0.36705
0.82486;0.17107
0.82364;0.76291
0.82262;0.84331
0.82223;0.07867
0.82135;0.25229
0.8184;0.41761
0.81838;0.78565
0.81835;0.94895
0.81764;0.62226
0.81711;0.48097
0.81702;0
0.81504;0.04925
0.81441;0.27085
0.81433;0.36277
0.81427;0.89422
0.81424;0.20942
0.81362;0.5596
0.81288;0.00607
0.81282;0.15695
0.8124;0.64966
0.81156;0.99005
0.80923;0.29154
0.80771;0.01316
0.80762;0.60404
0.80742;0.18848
0.80718;0.91488
0.80519;0.10575
0.80393;0.47978
0.80346;0.67467
0.80195;0.34365
0.80132;0.78114
0.79953;0.11221
0.79863;0.00239
0.79754;0.26038
0.79634;0.9077
0.79498;0.8002
0.79494;0.20773
0.79491;0.04839
0.79485;0.53283
0.79477;0.7254
0.79447;0.44159
0.7928;0.14023
0.79262;0.00342
0.79035;0.72027
0.78996;0.82476
0.78937;0.06207
0.78852;0.27808
0.78831;0.96405
0.78799;0.01106
0.78642;0.62627
0.7852;0.76365
0.78472;0.20558
0.78379;0.53381
0.7837;0.84201
0.78276;0.66005
0.78145;0.89103
0.78065;0.01383
0.77917;0.14692
0.77916;0.93283
0.77893;0.36091
0.77618;0.0451
0.77608;0.22315
0.77587;0.49497
0.77482;0.61439
0.77384;0.0123
0.77206;0.09031
0.7719;0.74026
0.77049;0.89579
0.76924;0.18912
0.76908;0.0101
0.76784;0.54953
0.76662;0.47254
0.7646;0.00318
0.76383;0.84851
0.76328;0.10616
0.76139;0.7132
0.76074;0.53761
0.75926;0.81836
0.7591;0.20389
0.7579;0.38156
0.7565;0.9685
0.75547;0.65977
0.75539;0.00503
0.75493;0.46636
0.75483;0.11868
0.75422;0.52871
0.75285;0.73245
0.7518;0.78432
0.75128;0.92655
0.74952;0.00829
0.74933;0.35049
0.74887;0.08689
0.74829;0.47691
0.74776;0.67766
0.74646;0.9685
0.74644;0.14562
0.74532;0
0.74393;0.81819
0.74243;0.36339
0.73952;0.91629
0.7393;0.04592
0.7393;0.12712
0.73906;0.69942
0.73862;0.00074
0.73797;0.54015
0.73686;0.78663
0.73365;0.0283
0.73362;0.61536
0.73338;0.71753
0.73267;0.93018
0.73242;0.34363
0.72877;0.41476
0.72817;0.0061
0.72814;0.64993
0.72732;0.50523
0.72711;0.91899
0.72648;0.11478
0.72593;0.744
0.72541;0.40427
0.72383;0.94247
0.72326;0.84334
0.72149;0.33975
0.71844;0.65872
0.71828;0.75285
0.71788;0.88519
0.71695;0.08668
0.7163;0.00214
0.7157;0.96334
0.71274;0.7479
0.71243;0.84891
0.71137;0.93835
0.70881;0.48092
0.70828;0.00294
0.70799;0.38677
0.70691;0.88775
0.70689;0.0895
0.70504;0.56747
0.70377;0.29958
0.70365;0.95652
0.70351;0.69579
0.70232;0
0.70191;0.81146
0.6994;0.74051
0.69927;0.06112
0.69916;0.92946
0.69702;0.59601
0.69619;0.92897
0.69598;0.42661
0.69526;0.26279
0.69404;0.12523
0.69386;0
0.69106;0.94933
0.6909;0.83662
0.6886;0.73895
0.68702;0.55707
0.68635;0.86585
0.68628;0
0.68462;0.08858
0.68379;0.92217
0.68302;0.25334
0.68177;0.72901
0.68118;0.94743
0.68066;0.6101
0.67925;0.13654
0.67755;0.22258
0.6762;0.02504
0.67469;0.59459
0.67467;0.74093
0.67253;0.26464
0.67236;0.86957
0.67033;0.01704
0.67014;0.90811
0.67011;0.79872
0.66628;0.30621
0.66541;0.86894
0.66513;0.55578
0.66511;0.13455
0.66413;0.65006
0.66333;0.01333
0.66205;0.92706
0.65983;0.52352
0.65953;0.8152
0.6578;0.72112
0.6574;0.00051
0.65618;0.63048
0.65535;0.86301
0.65496;0.79692
0.65393;0.91438
0.65336;0.54706
0.65239;0.1339
0.6523;0.96158
0.65216;0.01645
0.64825;0.78862
0.6476;0.00118
0.64754;0.83874
0.64742;0.12118
0.64739;0.71339
0.64719;0.32608
0.64661;0.56472
0.64504;0.90344
0.6431;0.57519
0.64275;0.02238
0.64219;0.91046
0.6419;0.33038
0.64006;0.75649
0.63938;0.92322
0.63732;0.02819
0.63649;0.28371
0.63638;0.62673
0.63489;0.94356
0.63424;0
0.63174;0.25229
0.63134;0.00987
0.63036;0.13638
0.63034;0.65018
0.62948;0.39859
0.62802;0.89777
0.62686;0.01516
0.62686;0.80494
0.62553;0.42034
0.62553;0.69113
0.6251;0.07095
0.62372;0.94627
0.62363;0.22659
0.62246;0.61136
0.62165;0.08032
0.62139;0.00634
0.62027;0.70182
0.61931;0.23118
0.61833;0.94616
0.61827;0.1235
0.61731;0.35036
0.61619;0.77464
0.61583;0.44605
0.61459;0.20266
0.61371;0.00082
0.61362;0.95027
0.6133;0.07066
0.61293;0.6759
0.61227;0.85508
0.61201;0.55507
0.61132;0.1444
0.61001;0.94759
0.60937;0.75053
0.60935;0.32018
0.60885;0.40588
0.60764;0.0815
0.60745;0.65593
0.60635;0.00087
0.60528;0.55058
0.60494;0.15126
0.60478;0.93029
0.60394;0.83544
0.60376;0.63871
0.60362;0.26899
0.603;0.381
0.60263;0.77493
0.60082;0.63249
0.60021;0.52467
0.59933;0.09902
0.59885;0.36823
0.59855;0.67432
0.59854;0
0.59723;0.16027
0.59681;0.9507
0.59678;0.04764
0.59638;0.69159
0.59563;0.52955
0.59488;0.84023
0.59434;0.28838
0.5931;0.55194
0.59215;0.43009
0.59135;0.36806
0.59104;0.95691
0.59012;0.11673
0.59008;0.87513
0.59006;0
0.58969;0.03948
0.58815;0.59104
0.58759;0.65147
0.58623;0.78427
0.58554;0.23718
0.58543;0.69647
0.58476;0.07699
0.58471;0.00059
0.58302;0.93633
0.58163;0.38175
0.58133;0.72791
0.57836;0.41654
0.57822;0.02737
0.57738;0.79298
0.57695;0.94594
0.57684;0.71203
0.5765;0.20243
0.57442;0.51629
0.57298;0.06169
0.57192;0.12955
0.57008;0.20764
0.56992;0.61777
0.56953;0.87423
0.56943;0.9605
0.56903;0.78694
0.56843;0
0.56515;0.65756
0.56494;0.13289
0.56449;0.07687
0.56383;0.38394
0.56334;0.28142
0.56317;0.19957
0.56317;0.01384
0.56198;0.95398
0.55996;0.44885
0.55862;0.06097
0.55726;0.17733
0.55705;0.96848
0.55524;0.00135
0.55485;0.50386
0.55466;0.29027
0.55358;0.89411
0.55335;0.81222
0.55201;0.05232
0.55039;0.19796
0.55012;0.95684
0.5486;0.35414
0.54759;0.9056
0.54722;0.69643
0.54662;0.74947
0.54582;0.82934
0.54555;0.00237
0.5445;0.20325
0.54377;0.08212
0.54232;0.96786
0.54065;0.53481
0.53937;0.82852
0.53887;0.19608
0.53859;0
0.53837;0.27832
0.53826;0.73172
0.53664;0.87221
0.53645;0.34228
0.53515;0.12201
0.53463;0.63085
0.53378;0.9445
0.53334;0.00102
0.53332;0.73962
0.53159;0.07994
0.5302;0.20115
0.52993;0.31302
0.52889;0.5806
0.52728;0.36475
0.52719;0.02364
0.52608;0.83459
0.52589;0.097
0.5258;0.71437
0.52536;0.95443
0.52361;0.20367
0.5232;0.87723
0.52258;0.35722
0.52252;0.44306
0.52078;0.58211
0.51938;0
0.51833;0.30324
0.51808;0.18447
0.51761;0.96628
0.51686;0.83652
0.51673;0.65779
0.5158;0.44623
0.51374;0.90273
0.51366;0.56555
0.51356;0.0752
0.51167;0.70495
0.51134;0.5
0.51123;0.94592
0.51019;0.81788
0.51015;0.2074
0.50849;0.13106
0.50729;0.01463
0.50407;0.55641
0.50404;0.32283
0.50377;0.86731
0.50323;0.7629
0.50317;0.15472
0.50139;0.07522
0.50045;0.94013
0.49956;0.85147
0.49869;0.15388
0.49798;0.01178
0.49703;0.2073
0.49674;0.27643
0.4957;0.94156
0.49529;0.54659
0.4938;0.77474
0.49376;0.42083
0.49347;0.67331
0.49293;0.13926
0.4905;0.93806
0.49009;0.00915
0.48963;0.86533
0.4894;0.06362
0.48897;0.56804
0.48809;0.29157
0.48787;0.21359
0.48636;0.13131
0.48452;0.72294
0.48431;0.85369
0.48384;0.19655
0.48281;0.00391
0.481;0.10175
0.47995;0.92817
0.47955;0.28244
0.47854;0.47084
0.47737;0.78645
0.47434;0.10307
0.47259;0.58085
0.47212;0.00304
0.47166;0.77035
0.47034;0.8756
0.46879;0.93462
0.46838;0.53842
0.46812;0.07615
0.46799;0.637
0.46595;0.24522
0.46538;0.00217
0.46352;0.45431
0.46226;0.76891
0.46092;0.52304
0.46076;0.23292
0.46053;0.08947
0.45912;0.91024
0.45707;0
0.45655;0.74034
0.45617;0.38539
0.45277;0.17769
