Base_normalized;Atrial_Side_normalized
0.99359;0.95077
0.99343;0.81005
0.98639;0.84341
0.98584;0.47927
0.98441;0.67134
0.98141;0.47807
0.97866;0.96662
0.97855;0.80352
0.96729;0.12374
0.96487;0.34099
0.96395;0.54006
0.9639;0.04112
0.95675;0.12526
0.95597;0.005
0.95402;0.93409
0.95273;0.32273
0.94938;0.767
0.94863;0.08865
0.94713;0.51445
0.94301;0.66116
0.94281;0.35312
0.94233;0
0.9408;0.58368
0.94029;0.85822
0.93718;0.54244
0.93622;0.74496
0.93549;0.3746
0.93544;0.07065
0.92929;0.70759
0.92862;0.53823
0.92856;0.10882
0.92821;0.64334
0.92714;0.24236
0.92317;0.33296
0.92219;0.46754
0.92208;0.19079
0.92147;0.85026
0.92107;0.02371
0.9203;0.76122
0.91534;0.50921
0.9153;0.88552
0.91318;0.40671
0.91292;0.25538
0.91273;0.09385
0.91214;0.00445
0.9115;0.98753
0.91095;0.1669
0.90682;0.72452
0.90664;0.95462
0.90593;0.04523
0.90555;0.87094
0.90487;0.29886
0.90473;0.43012
0.90283;0.20142
0.90116;0.96629
0.89997;0.02811
0.89796;0.44565
0.89781;0.29012
0.89735;0.17807
0.89726;0.65715
0.89213;0.82648
0.8914;0.93508
0.8909;0.26746
0.89081;0.62743
0.88963;0.11139
0.88952;0.50922
0.8884;0.01462
0.88545;0.89339
0.8846;0.59362
0.88376;0.21295
0.88326;0.67252
0.88248;0.30042
0.88059;0.41039
0.88012;0.00812
0.87951;0.10783
0.8766;0.43075
0.87639;0.96291
0.87536;0.57648
0.87483;0.78346
0.87447;0.3566
0.87435;0.5016
0.87433;0.21785
0.8723;0.01755
0.87145;0.69464
0.87066;0.27832
0.87024;0.81263
0.87021;0.96302
0.86955;0.09731
0.86867;0.55105
0.86687;0.5941
0.86599;0.36073
0.86565;0.73639
0.86428;0.8318
0.86244;0.95888
0.86232;0.4529
0.86138;0.5553
0.86067;0.01579
0.8596;0.87377
0.85873;0.78154
0.85824;0.61818
0.85707;0.41784
0.85677;0.3445
0.85657;0.52784
0.85643;0.06103
0.85492;0.83985
0.85478;0.66272
0.85257;0.95808
0.85243;0.88355
0.85227;0.12217
0.85107;0.43684
0.85086;0.51765
0.84968;0.69657
0.84669;0.16831
0.84609;0.58405
0.84601;0.79712
0.84562;0.00955
0.84558;0.97284
0.84514;0.40125
0.8448;0.92425
0.84445;0.266
0.84387;0.86746
0.8425;0.73986
0.84129;0.2064
0.8406;0.53326
0.84058;0.03202
0.84054;0.5819
0.83992;0.89178
0.83992;0.64563
0.83971;0.80378
0.83968;0.46699
