Base_normalized;Atrial_Side_normalized
0.99588;0.87193
0.99102;0.71835
0.98974;0.86608
0.98829;0.70243
0.98607;0.88784
0.98461;0.94418
0.98415;0.51671
0.98105;0.42984
0.98067;0.55782
0.97947;0.73316
0.97588;0.17124
0.97432;0.73818
0.96994;0.01242
0.96754;0.67587
0.96365;0.94385
0.96304;0.1153
0.95986;0.63594
0.95531;0.14009
0.95375;0.31624
0.95092;0.61405
0.94842;0.33924
0.94649;0.08701
0.94383;0.85234
0.94145;0.02391
0.94136;0.34749
0.93495;0.23111
0.93424;0.00565
0.93036;0.5921
0.92569;0.35146
0.92301;0
0.91864;0.02526
0.91767;0.68297
0.91382;0.37368
0.91265;0.07141
0.91059;0.71705
0.9064;0.46039
0.90403;0.05929
0.90317;0.75014
0.89731;0.51357
0.89498;0.12849
0.89205;0.03075
0.89028;0.40502
0.88772;0.69247
0.8867;0.33686
0.88621;0.04693
0.88578;0.21792
0.88219;0.7585
0.88218;0.59148
0.88112;0.90406
0.88067;0.00381
0.87725;0.31424
0.87705;0.56267
0.876;0.77342
0.87413;0.11258
0.87258;0.69175
0.86962;0.54358
0.86845;0.32691
0.86839;0.67253
0.86717;0.91048
0.86716;0.17294
0.86634;0.00512
0.86414;0.53733
0.86309;0.44646
0.86301;0.07978
0.86161;0.81891
0.85928;0.01101
0.85877;0.19814
0.85746;0.56233
0.85613;0.49691
0.85503;0.72188
0.85427;0.06838
0.85334;0.89507
0.85232;0.00078
0.85066;0.68344
0.85036;0.20996
0.84889;0.41411
0.84785;0.80843
0.84557;0.76524
0.84385;0.06606
0.84377;0.49884
0.84297;0.62132
0.84;0.40453
0.83964;0.17738
0.83939;0.87454
0.83842;0.00984
0.83822;0.5796
0.83785;0.74194
0.83384;0.10361
0.83351;0.90553
0.83223;0.53638
0.83139;0.70485
0.83054;0.16529
0.83045;0.7949
0.82924;0.00438
0.8289;0.32357
0.82733;0.46466
0.82528;0.59574
0.82428;0.15703
0.82341;0.69194
0.82237;0.34968
0.82096;0.78142
0.82076;0.85277
0.82073;0.44777
0.81989;0.04979
0.81964;0.56301
0.81959;0.18832
0.81722;0.90928
0.81465;0.11353
0.81388;0.51165
0.81372;0.22913
0.81366;0.37313
0.81312;0.30899
0.81105;0.62879
0.81032;0.01006
0.81003;0.77651
0.80983;0.69261
0.80854;0.12441
0.8083;0.52134
0.80671;0.17724
0.80524;0.76356
0.805;0.27041
0.80484;0.60885
0.80433;0.33175
0.80369;0.95626
0.80301;0.88012
0.80255;0.43467
0.80152;0.07219
0.79949;0.7106
0.79929;0.78909
0.79763;0.30025
0.79706;0.16916
0.79666;0.44492
0.79564;0.10806
0.79555;0.89389
0.79478;0.03397
0.79431;0.73777
0.79103;0.40207
0.79018;0.95229
0.78952;0.01091
0.78876;0.31026
0.78852;0.10589
0.78835;0.212
0.7866;0.05874
0.78433;0.27236
0.78408;0.78307
0.7833;0.93751
0.78243;0.17094
0.78126;0.11649
0.78104;0.01948
0.77907;0.47991
0.77884;0.28732
0.77852;0.82029
0.77675;0.95401
0.77579;0.07484
0.77552;0.33799
0.77527;0.18404
0.77462;0.01476
0.77451;0.27335
0.77206;0.72994
0.77126;0.10291
0.77019;0.79783
0.77009;0.25926
0.76997;0.51805
0.76996;0.92588
0.76993;0.18412
0.76906;0.02705
0.76873;0.57374
0.76714;0.88319
0.76695;0.35032
0.76645;0.97513
0.76545;0.48099
0.76486;0.26651
0.76444;0.79646
0.76387;0.03578
0.76376;0.17761
0.76272;0.31646
0.7626;0.08048
0.76256;0.62997
0.762;0.12148
0.76097;0.93252
0.75997;0.97514
0.75922;0.04701
0.75836;0.57191
0.7582;0.438
0.75796;0.50697
0.75759;0.23931
0.75734;0.13791
0.75696;0.02508
0.75674;0.34289
0.75666;0.78495
0.75603;0.88332
0.75599;0.72209
0.75535;0.40649
0.75341;0.47804
0.75259;0.109
0.75249;0.24888
0.7523;0.00136
0.7516;0.66257
0.75143;0.02211
0.75082;0.15758
0.75037;0.53762
0.74995;0.03949
0.74993;0.0939
0.7494;0.03571
0.74913;0.02335
0.74893;0.46342
0.74854;0.60518
0.7481;0.0378
0.74801;0.32419
0.74799;0.42606
0.74589;0.22465
0.74569;0.39206
0.74529;0.85696
0.74517;0.04367
0.74466;0.95998
0.74461;0.08258
0.74444;0.06079
0.7443;0.487
0.74413;0.56527
0.74396;0.15666
0.74384;0.09778
0.74344;0.62959
0.74159;0.36356
0.74043;0.29147
0.73977;0.77775
0.73908;0.64837
0.73874;0.85836
0.73829;0.40697
0.73828;0.13247
0.73817;0.48767
0.73813;0.57809
0.73776;0.91463
0.73657;0.07245
0.73611;0.96325
0.73511;0.53384
0.73478;0.67641
0.73466;0.15312
0.73357;0.85783
0.73342;0.21173
0.73026;0.58765
0.73008;0.09118
0.72975;0.34966
0.72811;0.03957
0.72787;0.48669
0.7274;0.97919
0.72705;0.68678
0.72643;0.40796
0.72363;0.73512
0.72362;0.80685
0.72345;0.23518
0.72227;0.86137
0.72043;0.36156
0.71996;0.0385
0.71974;0.20301
0.71891;0.14387
0.71713;0.42723
0.7171;0.24195
0.71457;0.65364
0.71363;0.92331
0.71262;0.30425
0.71129;0.11631
0.70977;0.1758
0.70865;0.03031
0.70859;0.25206
0.70844;0.96643
0.70842;0.71869
0.70799;0.5878
0.70473;0.41325
0.70471;0.82464
0.70381;0.28541
0.70321;0.88846
0.70214;0.13325
0.70202;0.02861
0.70142;0.96886
0.70117;0.20588
0.7005;0.33501
0.69933;0.74748
0.69769;0.02107
0.69621;0.23825
0.69583;0.48423
0.69542;0.60434
0.6936;0.08786
0.69334;0.3537
0.69276;0.14335
0.69115;0.96121
0.68968;0.01688
0.68922;0.60111
0.6879;0.47069
0.68496;0.76323
0.68413;0.51335
0.68386;0.9645
