Base_normalized;Atrial_Side_normalized
0.99189;0.95641
0.98858;0.7499
0.9836;0.79132
0.97987;0.92401
0.97066;0.55402
0.97033;0.23308
0.96481;0.10076
0.96423;0.92077
0.96108;0.76334
0.95857;0.09294
0.95741;0.48959
0.95606;0.92923
0.95136;0.16616
0.94912;0.45277
0.94681;0.74709
0.94293;0.04429
0.93978;0.95536
0.93421;0.17545
0.93346;0.75458
0.92552;0.68372
0.9252;0.01293
0.92119;0.1603
0.92005;0.80513
0.9196;0.41596
0.91866;0.64109
0.91249;0.82918
0.90537;0.76659
0.90469;0.55851
0.90195;0.04021
0.8982;0.7878
0.89098;0.63328
0.89031;0.34311
0.88976;0.17158
0.88632;0.89036
0.88292;0.04005
0.88053;0.45469
0.87386;0.63774
0.87365;0.11172
0.86811;0.20336
0.86682;0.82404
0.86365;0.53223
0.86257;0.05443
0.85769;0.7977
0.8562;0.11527
0.85283;0.61302
0.84926;0.85038
0.84528;0.51695
0.84375;0.19011
0.8425;0.04226
0.84095;0.72694
0.84093;0.89693
0.83621;0.54689
0.83248;0.06865
0.82945;0.5979
0.82781;0.2927
0.82663;0.80537
0.82249;0.05189
0.8218;0.43453
0.81784;0.88751
0.8163;0.17699
0.81319;0.29849
0.81314;0.5438
0.81178;0.04368
0.80558;0.26804
0.80429;0.60865
0.79966;0.82715
0.79934;0.25843
0.79205;0.40557
0.78806;0.83707
0.78275;0.20113
0.78107;0.59846
0.77873;0.92037
0.77314;0.04819
0.77212;0.43957
0.77042;0.62462
0.76692;0.79813
0.76251;0.09333
0.75486;0.21937
0.75287;0.02472
0.74812;0.75739
0.74633;0.18874
0.7447;0.41502
0.73813;0.51112
0.7363;0.7008
0.73317;0.44826
0.72744;0.50152
0.7241;0.01383
0.72376;0.62945
0.71861;0.68104
0.71272;0.71582
0.71173;0.00473
0.7067;0.30048
0.70188;0.25119
0.70144;0.63328
0.69546;0.70308
0.6948;0.00961
0.69276;0.50357
0.68662;0.60719
0.68492;0.32266
0.68139;0.15579
0.68023;0.7481
0.67904;0.3881
0.6761;0.03262
0.67601;0.67282
0.67125;0.83914
0.67044;0.41101
0.66799;0.18759
0.66259;0.83487
0.66107;0.43141
0.65847;0.18765
0.65628;0.90109
0.65581;0.50684
0.65387;0.03354
0.64843;0.59046
0.64787;0.35586
0.64779;0.4415
0.64335;0.00693
0.64217;0.23693
0.64054;0.31842
0.63802;0.75997
0.6368;0.45747
0.63678;0.04378
0.63603;0.26873
0.63112;0.60691
0.63108;0.40849
0.63078;0.88442
0.63049;0.19107
0.62872;0.75128
0.62825;0.48996
0.62699;0.29786
0.625;0.65225
0.62415;0.0797
0.62339;0.02297
0.62201;0.86398
0.62195;0.52346
0.62167;0.42318
0.62038;0.93918
0.6184;0.65952
0.61755;0.74008
0.61696;0.23766
0.6135;0.03804
0.61333;0.37063
0.61178;0.85787
0.61131;0.7989
0.61098;0.9147
0.6099;0.73147
0.60915;0.26741
0.60795;0.17551
0.60667;0.02455
0.6052;0.42232
0.60309;0.90895
0.60273;0.00992
0.59933;0.95453
0.5992;0.20251
0.59904;0.38031
0.59666;0.02839
0.59518;0.85458
0.59454;0.60437
0.59395;0.20206
0.59383;0.53416
0.59165;0.10275
0.59001;0.01891
0.58866;0.30012
0.58835;0.37946
0.5877;0.91639
0.58765;0.07488
0.58694;0.59752
0.5865;0.65782
0.58466;0.1599
0.58188;0.37263
0.58105;0.84444
0.57957;0.05919
0.57918;0.77309
0.57863;0.30671
