Base_normalized;Atrial_Side_normalized
0.97779;0.63794
0.97465;0.78533
0.97382;0.29881
0.96946;0.7281
0.96856;0.43541
0.96512;0.22566
0.96492;0.85311
0.96279;0.03036
0.96275;0.37973
0.96242;0.66225
0.96169;0.96799
0.96079;0.15705
0.9584;0.00159
0.95833;0.4974
0.95641;0.24737
0.95433;0.07454
0.9538;0.54238
0.94944;0.04732
0.9483;0.26401
0.94754;0.97103
0.94639;0.01594
0.94604;0.62457
0.94313;0.27922
0.94248;0.90238
0.94239;0.02646
0.93827;0.04574
0.93749;0.35121
0.93617;0.83511
0.93258;0.39615
0.93218;0.02242
0.93138;0.71266
0.92933;0.2818
0.92691;0.24217
0.92525;0.61888
0.92228;0.88974
0.92216;0.13958
0.92166;0.5083
0.91965;0.41172
0.91582;0.1484
0.91564;0.74439
0.91233;0.4131
0.91183;0.03624
0.91143;0.90319
0.91049;0.66952
0.90899;0.29565
0.90728;0.60157
0.90394;0.21458
0.90213;0.62046
0.90135;0.86203
0.90112;0.07351
0.89903;0.76709
0.89556;0.42244
0.89435;0.66544
0.89155;0.83636
0.8909;0.01957
0.8867;0.61638
0.88494;0.27815
0.88461;0.15443
0.88145;0.02474
0.88058;0.53466
0.87923;0.85049
0.87526;0.49076
0.87204;0.38845
0.87182;0.87145
0.87046;0.01684
0.86767;0.55353
0.86541;0.25244
0.86513;0.73551
0.86466;0.42662
0.86221;0.93754
0.86056;0.05726
0.85998;0.65031
0.85993;0.86136
0.85722;0.39689
0.85647;0.2843
0.85539;0.02782
0.85514;0.56409
0.85422;0.84694
0.8504;0.17718
0.84912;0.93657
0.84771;0.36006
0.84768;0.72057
0.84496;0.87743
0.84317;0.04095
0.84293;0.18469
0.84249;0.68613
0.84043;0.56023
0.84032;0.3818
0.83828;0.85578
0.83701;0.33243
0.83272;0.12305
0.83252;0.02269
0.83214;0.80194
0.83;0.39805
0.82719;0.83006
0.82649;0.01573
0.82458;0.26047
0.8205;0.73128
0.81798;0.2044
0.81744;0.4089
0.8156;0.04544
0.81453;0.82246
0.80824;0.88369
0.80744;0.11453
0.80691;0.70528
0.80481;0.24001
0.80421;0.01749
0.80405;0.37206
0.80193;0.61589
0.80044;0.09586
0.79967;0.91238
0.79762;0.00423
0.79367;0.44787
0.79355;0.70431
0.79268;0.00941
0.79191;0.54235
0.78801;0.05223
0.78544;0.87783
0.78402;0.71859
0.7834;0.44011
0.78323;0.00353
0.78198;0.13977
0.77951;0.84866
0.7778;0.01234
0.77728;0.45208
0.77709;0.29083
0.77618;0.56584
0.77358;0.02194
0.77307;0.63763
0.7721;0.44684
0.77118;0.89849
0.76953;0.07017
0.76628;0.90073
0.7654;0.37359
0.76308;0.55119
0.763;0.03463
0.76267;0.78403
0.76037;0.38453
0.75796;0.65294
0.75674;0.52235
0.75494;0.01486
0.75329;0.91282
0.75313;0.18659
0.75246;0.59135
0.75165;0.41386
0.7484;0.54237
0.74564;0.81558
0.74479;0.00641
0.74264;0.27731
0.74167;0.52672
0.74135;0.82478
0.7369;0.70955
0.73603;0.47599
0.73269;0.83707
0.73186;0.62791
0.73061;0.41355
0.7265;0.7317
0.72483;0.47728
0.72483;0.88184
0.71977;0.78117
0.71971;0.00627
0.71822;0.45119
0.71622;0.24013
0.71104;0.02227
0.71093;0.39307
0.70612;0.83351
0.7044;0.26255
0.70396;0.63514
0.7033;0.016
0.69856;0.82239
0.69436;0
0.69406;0.07017
0.69326;0.66268
0.69181;0.4079
0.68966;0.79915
0.68864;0
0.68573;0.41255
0.68382;0.85701
0.68134;0.11222
0.68134;0.28908
0.67998;0.00867
0.67986;0.4491
0.67874;0.81438
0.67461;0.59783
0.6736;0.28348
0.6727;0.05153
0.67261;0.89258
0.67097;0.69309
0.66844;0.53623
0.66486;0.89695
0.66259;0.72078
0.66194;0.04331
0.66061;0.56932
0.65948;0.26821
0.65855;0.88676
0.65797;0.40591
0.65395;0.86026
0.65273;0.67979
0.65252;0.14192
0.64745;0.84512
0.6465;0.51173
0.6438;0.02478
0.64314;0.25663
0.64231;0.78426
0.63793;0
0.63756;0.4726
0.6348;0.73814
0.63463;0.2043
0.62956;0.49226
0.62923;0.78712
0.629;0.05071
0.6232;0.4798
0.62228;0.22277
0.62189;0.77419
0.61945;0.00576
0.61861;0.36376
0.61578;0.11293
0.61519;0.80299
0.61435;0.94805
0.61085;0.32659
0.61038;0.65109
0.60928;0.02687
0.60778;0.87407
0.60759;0.26786
0.60418;0.23365
0.60376;0.44145
0.60174;0.76214
0.59749;0.01986
0.59483;0.81122
0.59482;0.42331
0.58977;0.25252
0.58944;0.0745
0.58849;0.72088
0.58638;0.53847
0.5813;0.17697
0.58114;0.79888
0.5792;0.01563
0.57558;0.44257
0.57557;0.65091
0.57458;0.21332
0.57195;0.84381
0.56981;0.53685
0.56964;0.16459
0.56631;0.0129
0.56549;0.37908
0.56524;0.85859
0.56163;0.2206
0.56016;0.61364
0.55982;0.01405
0.55833;0.87398
0.55649;0.52974
0.55398;0.23586
0.55171;0.82231
0.54991;0.01519
0.54842;0.18004
0.54492;0.05148
0.54339;0.83273
0.5417;0.60788
0.53999;0.18438
0.5395;0.48177
0.5392;0.76382
0.5383;0.01905
0.53278;0.7543
0.53095;0.17453
0.52857;0.83094
0.52783;0.58909
0.52665;0.24242
0.52467;0.06693
0.52232;0.91478
0.52154;0.74439
0.51768;0.0285
0.5156;0.62358
0.5103;0.2849
0.50883;0.0793
0.5088;0.8494
0.50709;0.58933
0.49828;0.38192
0.49556;0.08168
0.49116;0.72308
0.48599;0.11851
0.48268;0.65185
0.48261;0.46595
0.48019;0.21914
0.47621;0.78818
0.47573;0.04938
0.46913;0.14719
0.46851;0.48787
0.4679;0.7537
0.46457;0.02157
0.46237;0.71743
0.45766;0.13377
0.45742;0.59007
0.4554;0.83435
0.45139;0.4308
0.44956;0.69676
0.44896;0.08107
0.44544;0.78717
0.44497;0.29136
0.44007;0.05996
0.43647;0.83171
0.43224;0.25716
0.42971;0.05835
0.42778;0.80562
0.4223;0.19233
0.4216;0.79516
0.41733;0.50928
0.41587;0.08369
0.41409;0.75615
0.41145;0.30259
0.40901;0.50293
0.40875;0.86236
0.40564;0.07948
0.40175;0.3177
0.40101;0.81396
0.39975;0.45704
0.39859;0.18908
0.39622;0.77893
0.39387;0.04146
0.39384;0.62082
0.39162;0.17157
0.39096;0.45673
0.39019;0.32487
0.38966;0.8757
0.38875;0.75568
0.38581;0.12162
0.38445;0.68987
0.38399;0.43062
0.38021;0.85823
0.37998;0.53713
0.37898;0.18603
0.37768;0.06559
0.37604;0.67462
0.37397;0.45392
0.37187;0.81975
0.37062;0.28264
0.36887;0.07025
0.363;0.83941
0.36265;0.63792
0.36156;0.38184
0.36033;0.07599
0.3584;0.23026
0.35398;0.92411
0.35357;0.59508
0.35173;0.03501
0.34919;0.14765
0.34213;0.79278
0.3418;0.04603
0.33964;0.27632
0.33812;0.61955
0.33256;0.83866
0.33213;0.0559
0.32694;0.24597
0.32346;0.08482
0.31866;0.2686
0.31473;0.06426
0.31288;0.44962
0.31157;0.86309
0.30664;0.23056
0.30135;0.71404
0.29708;0.0565
0.29447;0.35364
0.29113;0.67227
0.28504;0.05599
0.2756;0.50588
0.27473;0.14033
0.26991;0.75469
0.26881;0.46725
0.26354;0.11243
0.26181;0.67441
0.25742;0.81053
0.25555;0.22442
0.25462;0.04467
0.25355;0.39917
0.25134;0.67935
0.24887;0.10991
0.24675;0.85004
0.24266;0.05175
0.24002;0.36435
0.2395;0.67443
0.2365;0.03706
0.22989;0.04278
0.22961;0.86161
0.22507;0.1013
0.22283;0.78211
0.22037;0.51791
0.21855;0.11315
0.21478;0.72051
0.21473;0.48189
0.21423;0.01557
0.20893;0.07966
0.2017;0.74843
0.20008;0.09374
0.19912;0.34815
0.19585;0.57075
0.18933;0.80303
0.18726;0.17328
0.18615;0.59255
0.17837;0.73809
0.17728;0.11012
0.17171;0.82828
0.16809;0.05924
0.16527;0.62728
0.15789;0.55442
0.15587;0.12331
0.15245;0.60326
0.14529;0.49995
0.14506;0.1844
