Base_normalized;Atrial_Side_normalized
0.99356;0.48974
0.98863;0.78272
0.98823;0.27241
0.9838;0.07922
0.9829;0.63023
0.9801;0.3387
0.97706;0.11195
0.97304;0.67651
0.97246;0.1486
0.96913;0.04064
0.96752;0.29885
0.96566;0.5619
0.9637;0.76851
0.96364;0.0601
0.95855;0.04348
0.95358;0.07419
0.9525;0.57556
0.95178;0.82362
0.9516;0.35942
0.9467;0.30583
0.94567;0.81712
0.94521;0.03315
0.94317;0.56567
0.94017;0.29265
0.93773;0.82355
0.93535;0.05175
0.93141;0.78326
0.92679;0.15128
0.92444;0.37583
0.92377;0.01612
0.92198;0.71454
0.9213;0.88522
0.91583;0.25462
0.91473;0.01181
0.91372;0.69428
0.90972;0.331
0.90799;0.55997
0.90764;0.16454
0.90423;0.01565
0.90394;0.60922
0.90231;0.86609
0.90038;0.48179
0.89699;0.70078
0.89638;0.24736
0.89485;0.07475
0.89411;0.91894
0.89029;0.61852
0.88946;0.24705
0.88851;0.44969
0.88778;0.82794
0.88291;0.02143
0.8819;0.64555
0.88139;0.86156
0.87862;0.25619
0.87611;0.47354
0.87604;0.82404
0.87498;0.63447
0.87285;0.134
0.87089;0.88903
0.87017;0.03562
0.86705;0.9694
0.86588;0.62857
0.86221;0.16867
0.86082;0.88942
0.8599;0.51519
0.85877;0.01902
0.85252;0.98074
0.85246;0.44257
0.85041;0.81818
0.8503;0.2436
0.84837;0.01295
0.84647;0.10245
0.84558;0.87871
0.84483;0.67439
0.84111;0.49308
0.84081;0.60057
0.83743;0.17417
0.83691;0.95714
0.83592;0.06349
0.83584;0.84144
0.83394;0.33226
0.83333;0.71753
0.83166;0.45804
0.82791;0.08158
0.82657;0.89538
0.82526;0.68285
0.82455;0.21861
0.81931;0.15753
0.81911;0.03949
0.81897;0.89483
0.81764;0.41329
0.81565;0.62975
0.81522;0.29095
0.81469;0.39346
0.8145;0.13444
0.81343;0.89813
0.81076;0.96646
0.80998;0.68223
0.80842;0.02231
0.80777;0.85815
0.80677;0.37504
0.80592;0.62271
0.80351;0.18959
0.80119;0.12336
0.80061;0.77636
0.8006;0.33023
0.80057;0.48807
0.79786;0.65961
0.79768;0.07832
0.79718;0.19132
0.79424;0.36731
0.79422;0.62548
0.79281;0.92708
0.79257;0.2662
0.79153;0.76552
0.79134;0.13025
0.78927;0.6356
0.7871;0.05829
0.78265;0.23396
0.78171;0.94796
0.78063;0.58362
0.78033;0.16034
0.77982;0.04363
0.77867;0.75954
0.7785;0.40272
0.77822;0.33355
0.77739;0.88193
0.77351;0.67628
0.77209;0.13186
0.77144;0.03595
0.77112;0.25108
0.7701;0.60588
0.76945;0.9036
0.76713;0.7365
0.76404;0.30103
0.76343;0.01978
0.76232;0.88459
0.7613;0.10405
0.76087;0.76762
0.76033;0.59307
0.75369;0.43991
0.75362;0.5241
0.75305;0.92381
0.75274;0.19433
0.75237;0.34956
0.75123;0.81828
0.75042;0.02147
0.74734;0.66183
0.74595;0.29717
0.74593;0.14504
0.7454;0.90371
0.74069;0.09509
0.73663;0.89736
0.73643;0.02587
0.73631;0.69437
0.73608;0.38423
0.73116;0.26375
0.73003;0.65
0.72911;0.93501
0.72676;0.05731
0.72394;0.22021
0.72364;0.84909
0.72357;0.62954
0.72164;0.50691
0.71675;0.35011
0.71667;0.64055
0.71576;0.11152
0.71428;0.01153
0.71245;0.79252
0.71236;0.25499
0.71195;0.5697
0.70649;0.74576
0.70424;0.08534
0.70214;0.00484
0.70132;0.6167
0.70048;0.39248
0.69988;0.86582
0.69951;0.71073
0.69772;0.55251
0.69437;0.95091
0.69213;0.02974
0.6921;0.61957
0.69115;0.19332
0.68939;0.89539
0.68701;0.60867
0.68447;0.18421
0.68369;0.3645
0.68322;0.52864
0.68198;0
0.67692;0.56892
0.67497;0.21946
0.67376;0.95022
0.67198;0.88282
0.67139;0.6419
0.67121;0.09941
0.66842;0.38254
0.66633;0.87721
0.66629;0.02342
0.66516;0.69723
0.66023;0.47761
0.65838;0.07747
0.65837;0.76812
0.65833;0.30326
0.65326;0.44452
0.65134;0.77293
0.64986;0.53766
0.64682;0.06827
0.64254;0.77662
0.64179;0.46782
0.64029;0.61128
0.63863;0.03455
0.63548;0.20488
0.62957;0.54915
0.62892;0.32317
0.62861;0.08491
0.62477;0.86453
0.62146;0.58506
0.62036;0.39033
0.61982;0.03277
0.61898;0.7587
0.61326;0.81319
0.61099;0.37719
0.60908;0.21113
0.6065;0.66993
0.606;0.0342
0.60574;0.88296
0.60317;0.33608
0.59938;0.1365
0.59927;0.8771
0.59406;0.42538
0.59229;0.89612
0.59218;0.07959
0.58844;0.29814
0.58597;0.20942
0.58468;0.05403
0.58224;0.15959
0.57816;0.45016
0.57654;0.56526
0.57589;0.72971
0.57585;0.07578
0.57416;0.36286
0.57377;0.01437
0.57118;0.96663
0.57089;0.86701
0.56773;0.31865
0.56762;0.4703
0.5669;0.76823
0.56656;0.07437
0.56117;0.00915
0.55997;0.10834
0.55831;0.35022
0.55729;0.8621
0.55484;0.05519
0.54997;0.3763
0.5491;0.01957
0.54696;0.96683
0.54541;0.58343
0.53975;0.03854
0.53792;0.27692
0.53236;0.71459
0.5322;0.89224
0.53138;0.44467
0.53115;0.23926
0.52908;0.595
0.52718;0.02135
0.52424;0.49351
0.5241;0.87488
0.5231;0.22821
0.52254;0.04327
0.52227;0.14401
0.51913;0.02919
0.5142;0.49515
0.51268;0.01971
0.51214;0.96313
0.5121;0.19361
0.50882;0.37173
0.50783;0.77236
0.50439;0.35447
0.50437;0.0163
0.50351;0.72887
0.5031;0.30082
0.50183;0.16231
0.49733;0.01161
0.4964;0.75464
0.4954;0.40004
0.4922;0.85902
0.49176;0.1217
0.49002;0.93602
0.48878;0.76532
0.48835;0.60995
0.48711;0.0246
0.48005;0.03098
0.4791;0.33388
0.47806;0.90138
0.47486;0.14316
0.47462;0.6909
0.47444;0.02048
0.47008;0.77484
0.46833;0.37024
0.46695;0.05989
0.46628;0.27472
0.46113;0.12799
0.46055;0.61402
0.45788;0.77268
0.45749;0.02958
0.45654;0.54592
0.45417;0.92644
0.45255;0.68687
0.45049;0.12722
0.44777;0.53832
0.44379;0.06024
